authors,title,pub,pages,year,conference,type,link,award,acceptance
"Ballatore, Andrea; Graham, Mark; Sen, Shilad",Digital hegemonies: the localness of search engine results,"Taylor and Francis",1194-1215,2016,"Annals of the American Association of Geographers",journal,http://www.tandfonline.com/doi/abs/10.1080/24694452.2017.1308240,,
"Topaz, Chad; Sen, Shilad",Gender Representation on Journal Editorial Boards in the Mathematical Sciences,"PloS one",11,2017,PloS one,journal,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161357,,
"Shilad Sen, Anja Beth Swoap, Qisheng Li, Brooke Boatman, Ilse Dippenaar, Rebecca Gold, Monica Ngo, Sarah Pujol, Bret Jackson, Brent Hecht",Cartograph: Unlocking Spatial Visualization Through Semantic Enhancement,"In Proceedings of the 22nd International Conference on Intelligent User Interfaces",,2017,IUI 2017,conference,http://www.shilad.com/static/cartograph-iui-2017-final.pdf,,23
"Andrew Hall, Sarah McRoberts, Jacob Thebault-Spieker, Allen Yilun Lin, Shilad Sen, Brent Hecht, Loren Terveen",Freedom versus Standardization: Structured Data Generation in a Peer Production Community,"Proceedings of the 2017 SIGCHI Conference on Human Factors in Computing Systems",,2017,CHI 2017,conference,http://jacob.thebault-spieker.com/papers/CHI17_OSMQual.pdf,,TBA
"Sen, Shilad; Johnson, Isaac; Harper, Rebecca; Mai, Huy; Horlbeck Olsen, Samuel; Mathers, Benjamin; Souza Vonessen, Laura; Wright, Matthew; Hecht, Brent",Towards Domain-Specific Semantic Relatedness: A Case Study in Geography,"Proceedings of the 2015 Joint Conference on Artificial Intelligence",,2015,IJCAI 2015,conference,http://ijcai.org/papers15/Papers/IJCAI15-334.pdf,,29
"Sen, Shilad; Ford, Heather; Musicant, Dave; Graham, Mark; Keyes, Oliver; Hecht, Brent",Barriers to the Localness of Volunteered Geographic Information,"Proceedings of the 2015 SIGCHI Conference on Human Factors in Computing Systems
",,2015,CHI 2015,conference,http://www-users.cs.umn.edu/~bhecht/publications/localnessgeography_CHI2015.pdf,Best Paper Honorable Mention,23
"Sen, Shilad; Lesicko, Matthew; Giesel, Margaret; Gold, Rebecca; Hillmann, Benjamin; Naden, Samuel; Russell, Jesse; Wang, Zixiao ""Ken""; Hecht, Brent","Turkers, Scholars, ""Arafat"" and ""Peace"": Cultural Communities and Algorithmic Gold Standards",Proceedings of the 2015 Conference on Computer Supported Cooperative Work and Social Computing,,2015,CSCW 2015,conference,http://www-users.cs.umn.edu/~bhecht/publications/goldstandards_CSCW2015.pdf,Winner of Best Paper,28
"Sen, Shilad; Li, Toby Jia-Jun; Lesicko, Matthew; Weiland, Ari; Gold, Rebecca; Li, Yulun; Hillmann, Benjamin; Hecht, Brent",WikiBrain: Democratizing computation on Wikipedia,Proceedings of the 10th International Symposium on Wikis and Open Collaboration,,2014,WikiSym 2014,conference,http://www-users.cs.umn.edu/~bhecht/publications/WikiBrain-WikiSym2014.pdf,,45
"Li, Toby Jia-Jun; Sen, Shilad; Hecht, Brent",Leveraging Advances in Natural Language Processing to Better Understand Tobler's First Law of Geograph,Proceedings of ACM SIGSPATIAL 2014,,2014,SIGSPATIAL 2014,conference,http://www-users.cs.umn.edu/~bhecht/publications/bhecht_sigspatial2014_toblerslaw.pdf,,
"Ford, Heather; Sen, Shilad; Musicant, David R; Miller, Nathaniel; ",Getting to the Source: Where does Wikipedia Get Its Information From?,Proceedings of the 9th International Symposium on Wikis and Open Collaboration,,2013,WikiSym 2013,conference,http://opensym.org/wsos2013/proceedings/p0203-ford.pdf,,50
"Priedhorsky, Reid; Pitchford, David; Sen, Shilad; Terveen, Loren; ","Recommending routes in the context of bicycling: algorithms, evaluation, and the value of personalization",Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work,979-988,2012,CSCW 2012,conference,http://reidster.net/pubs/cscw2012pr.pdf,,39
"Dong, Zhenhua; Shi, Chuan; Sen, Shilad; Terveen, Loren; Riedl, John; ",War Versus Inspirational in Forrest Gump: Cultural Effects in Tagging Communities,Sixth International AAAI Conference on Weblogs and Social Media,,2012,ICWSM 2012,conference,http://www.aaai.org/ocs/index.php/ICWSM/ICWSM12/paper/view/4624/4970,,20
"Kluver, Daniel; Nguyen, Tien T; Ekstrand, Michael; Sen, Shilad; Riedl, John; ",How many bits per rating?,Proceedings of the sixth ACM conference on Recommender systems,99-106,2012,RecSys 2012,conference,http://wanlab.poly.edu/recsys12/recsys/p99.pdf,,20
"Vig, Jesse; Sen, Shilad; Riedl, John; ",The Tag Genome: Encoding Community Knowledge to Support Novel Interaction,ACM Transactions on Interactive Intelligent Systems (TiiS),13,2012,ACM TiiS,journal,http://www.grouplens.org/system/files/tag_genome.pdf,,
"Lam, Shyong Tony K; Uduwage, Anuradha; Dong, Zhenhua; Sen, Shilad; Musicant, David R; Terveen, Loren; Riedl, John; ",WP: clubhouse?: an exploration of Wikipedia's gender imbalance,Proceedings of the 7th International Symposium on Wikis and Open Collaboration,10-Jan,2011,WikiSym 2011,conference,http://www.grouplens.org/system/files/wp-gender-wikisym2011.pdf,Winner of Best Paper,42
"Vig, Jesse; Sen, Shilad; Riedl, John; ",Navigating the tag genome,Proceedings of the 16th international conference on Intelligent user interfaces,93-102,2011,IUI 2011,conference,http://www.researchgate.net/publication/220269404_Navigating_the_tag_genome/file/d912f5059d12d51acb.pdf,Nominated for Best Paper,29
"Sparling, E Isaac; Sen, Shilad; ",Rating: how difficult is it?,Proceedings of the fifth ACM conference on Recommender systems,149-156,2011,RecSys 2011,conference,http://poliwiki.org/papers/sen-recsys2011.pdf,,20
"Sen, Shilad; Riedl, John; ",Folksonomy Formation,Computer,97-101,2011,IEEE,conference,http://ieeexplore.ieee.org/xpl/login.jsp?tp=&arnumber=5767733&url=http%3A%2F%2Fieeexplore.ieee.org%2Fxpls%2Fabs_all.jsp%3Farnumber%3D5767733,,
"Sen, Shilad; Charlton, Henry; Kerwin, Ryan; Lim, Jeremy; Maus, Brandon; Miller, Nathaniel; Naminski, Megan R; Schneeman, Alex; Tran, Anthony; Nunes, Ernesto; ",Macademia: semantic visualization of research interests,Proceedings of the 16th international conference on Intelligent user interfaces,457-458,2011,IUI 2011,conference,http://dl.acm.org/citation.cfm?id=1943497,,
"Vig, Jesse; Sen, Shilad; Riedl, J; ",Computing the tag genome,,,2011,"Technical report, University of Minnesota, 2010. http://www. grouplens. org/system/files/genome. pdf",tech,http://www.researchgate.net/publication/228480787_Computing_the_tag_genome/file/d912f5059d12b5c7b0.pdf,,
"Sen, Shilad W; Vig, Jesse; Soukup, Matthew; Riedl, John; ",Tag Expression: Tagging with Feeling,UIST'10: Proceedings of the 23nd Annual ACM Symposium on User Interface Software and Technology,,2010,UIS 2010,conference,http://www.grouplens.org/system/files/TagExpressions.pdf,,18
"Sen, Shilad; Vig, Jesse; Riedl, John; ",Tagommenders: connecting users to items through tags,Proceedings of the 18th international conference on World wide web,671-680,2009,WWW 2008,conference,http://www2009.eprints.org/68/1/p671.pdf,,11
"Vig, Jesse; Sen, Shilad; Riedl, John; ",Tagsplanations: explaining recommendations using tags,Proceedings of the 14th international conference on Intelligent user interfaces,47-56,2009,IUI 2009,conference,http://grouplens.org/system/files/vig-iui2009-tagsplanations.pdf,Winner of Best Paper,25
"Sen, Shilad; Vig, Jesse; Riedl, John; ",Learning to recognize valuable tags,Proceedings of the 14th international conference on Intelligent user interfaces,87-96,2009,IUI 2009,conference,http://poliwiki.org/papers/tagquality_iui2009.pdf,,25
"Sen, Shilad Wieland; ",Nurturing tagging communities,,,2009,University of Minnesota,dissertation,http://conservancy.umn.edu/bitstream/49984/1/Sen_umn_0130E_10255.pdf,,
"Drenner, Sara; Sen, Shilad; Terveen, Loren; ",Crafting the initial user experience to achieve community goals,Proceedings of the 2008 ACM conference on Recommender systems,187-194,2008,RecSys 2008,conference,http://www.grouplens.org/system/files/p187-drenner.pdf,,30
"Schafer, J Ben; Frankowski, Dan; Herlocker, Jon; Sen, Shilad; ",Collaborative filtering recommender systems,The adaptive web,291-324,2007,Springer Berlin Heidelberg,chapter,http://www.eui.upm.es/~jbobi/jbobi/PapersRS/CollaborativeFilteringRecommenderSystems.pdf,,
"Sen, Shilad; Harper, F Maxwell; LaPitz, Adam; Riedl, John; ",The quest for quality tags,Proceedings of the 2007 international ACM conference on Supporting group work,361-370,2007,GROUP 2007,conference,http://poliwiki.org/papers/tagrating_group2007.pdf,,28
"Harper, F Maxwell; Sen, Shilad; Frankowski, Dan; ",Supporting social recommendations with activity-balanced clustering,Proceedings of the 2007 ACM conference on Recommender systems,165-168,2007,RecSys 2007,conference,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.158.1445&rep=rep1&type=pdf,,30
"Frankowski, Dan; Lam, Shyong K; Sen, Shilad; Harper, F Maxwell; Yilek, Scott; Cassano, Michael; Riedl, John; ",Recommenders everywhere:: the WikiLens community-maintained recommender system,Proceedings of the 2007 international symposium on Wikis,47-60,2007,WikiSym 2008,conference,http://www.researchgate.net/publication/200772611_Recommenders_Everywhere_The_WikiLens_Community-Maintained_Recommender_System/file/d912f5059d12d6efad.pdf,,
"Sen, Shilad; Lam, Shyong K; Rashid, Al Mamunur; Cosley, Dan; Frankowski, Dan; Osterhouse, Jeremy; Harper, F Maxwell; Riedl, John; ","Tagging, communities, vocabulary, evolution",Proceedings of the 2006 20th anniversary conference on Computer supported cooperative work,181-190,2006,CSCW 2006,conference,http://cleo.ics.uci.edu/teaching/Winter10/231/readings/5b-Sen-TaggingCommunities-CSCW.pdf,Winner of Best Paper,22
"Frankowski, Dan; Cosley, Dan; Sen, Shilad; Terveen, Loren; Riedl, John; ",You are what you say: privacy risks of public mentions,Proceedings of the 29th annual international ACM SIGIR conference on Research and development in information retrieval,565-572,2006,SIGIR 2006,conference,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.75.5865&rep=rep1&type=pdf,,19
"Sen, Shilad; Geyer, Werner; Muller, Michael; Moore, Marty; Brownholtz, Beth; Wilcox, Eric; Millen, David R; ",FeedMe: a collaborative alert filtering system,Proceedings of the 2006 20th anniversary conference on Computer supported cooperative work,89-98,2006,CSCW 2006,conference,http://www.cs.umd.edu/class/spring2013/cmsc818b/files/feedme_paper.pdf,,22
